# phenotype data from Gatti et al. (2014) G3 4:1623-1633
# nrow 742
# ncol 3
id,WBC,NEUT
JAXW202.2337,5.04,317.52
JAXW202.2338,4.52,1145.368
JAXW202.2339,6.56,1233.936
JAXW202.2340,4.88,878.4
JAXW202.2341,10.58,1564.782
JAXW202.2343,7.88,789.576
JAXW202.2346,9.36,1202.76
JAXW202.2348,5.24,591.596
JAXW202.2349,4.14,411.516
JAXW202.2351,10.92,1157.52
JAXW202.2352,4.16,865.28
JAXW202.2353,6.28,1288.66
JAXW202.2354,6.88,976.96
JAXW202.2355,6.66,1579.09
JAXW202.2356,6.02,1294.9
JAXW202.2357,4.78,1009.06
JAXW202.2358,7.8,908.7
JAXW202.2359,7.2,956.16
JAXW202.2360,6.28,1105.91
JAXW202.2361,9.04,1294.53
JAXW202.2362,5.94,1049.6
JAXW202.2363,6.88,1511.54
JAXW202.2364,9.02,1481.99
JAXW202.2365,5.74,1722.57
JAXW202.2366,3.8,619.02
JAXW202.2367,11.8,1853.78
JAXW202.2368,7.68,1447.68
JAXW202.2369,7.02,1154.79
JAXW202.2371,4.7,1088.52
JAXW202.2373,7.34,1481.21
JAXW202.2374,7.96,1485.34
JAXW202.2375,11.92,1942.96
JAXW202.2376,5.7,886.35
JAXW202.2377,7.7,640.64
JAXW202.2378,7.7,872.41
JAXW202.2379,7.74,1367.66
JAXW202.2381,8.18,876.9
JAXW202.2382,6.72,1192.8
JAXW202.2383,4.04,675.49
JAXW202.2384,6.92,839.4
JAXW202.2385,6.02,992.7
JAXW202.2387,9.02,1149.15
JAXW202.2388,8.22,1598.79
JAXW202.2389,4.8,737.28
JAXW202.2390,7.16,1113.38
JAXW202.2391,8.12,963.84
JAXW202.2392,5.22,1377.04
JAXW202.2393,4.32,698.11
JAXW202.2394,5.84,879.5
JAXW202.2395,6.28,1201.36
JAXW202.2397,8.32,1159.81
JAXW202.2398,7.8,1062.36
JAXW202.2400,9.62,1985.57
JAXW202.2401,6.32,848.14
JAXW202.2402,9.28,1290.85
JAXW202.2403,9.68,1380.37
JAXW202.2404,8.18,1219.64
JAXW202.2405,8.12,1061.28
JAXW202.2407,7.36,1106.944
JAXW202.2408,4.36,952.224
JAXW202.2410,4.36,545.872
JAXW202.2411,7.4,1135.16
JAXW202.2412,6.98,860.634
JAXW202.2413,12.48,2228.928
JAXW202.2415,9.04,1071.24
JAXW202.2416,12.64,1298.128
JAXW202.2417,7.32,1250.256
JAXW202.2418,10.16,859.536
JAXW202.2419,13.1,1710.86
JAXW202.2420,11.14,1435.946
JAXW202.2421,4.82,895.074
JAXW202.2422,6,626.4
JAXW202.2423,11.38,2321.52
JAXW202.2425,9.78,1232.28
JAXW202.2426,5.94,900.5
JAXW202.2427,3.86,739.19
JAXW202.2428,5.88,729.12
JAXW202.2429,6.22,1104.05
JAXW202.2430,4.94,650.1
JAXW202.2431,5.32,704.9
JAXW202.2432,8.32,1056.64
JAXW202.2433,7.88,860.5
JAXW202.2434,11.96,993.88
JAXW202.2435,5.62,714.86
JAXW202.2436,4.78,1032.48
JAXW202.2437,4,437.6
JAXW202.2438,10.52,2033.52
JAXW202.2439,4.98,1064.72
JAXW202.2440,4.7,1092.75
JAXW202.2441,2.1,198.24
JAXW202.2442,5.04,710.64
JAXW202.2443,7.86,1474.54
JAXW202.2444,3.76,708.01
JAXW202.2445,7.18,863.04
JAXW202.2446,3.44,659.79
JAXW202.2447,4.8,472.8
JAXW202.2449,9.72,1432.73
JAXW202.2450,3.58,612.18
JAXW202.2454,3.3,719.07
JAXW202.2455,4.96,696.88
JAXW202.2456,3.56,722.32
JAXW202.2457,7.66,1297.6
JAXW202.2459,6.7,725.61
JAXW202.2460,8.54,988.08
JAXW202.2461,10.32,1384.94
JAXW202.2462,9.54,1095.19
JAXW202.2463,5.68,671.38
JAXW202.2464,8.96,1078.78
JAXW202.2465,4.48,626.3
JAXW202.2466,9.72,1337.47
JAXW202.2467,9.5,943.35
JAXW202.2468,8.64,2380.32
JAXW202.2469,7.94,1266.43
JAXW202.2470,4.12,932.77
JAXW202.2471,5.14,384.47
JAXW202.2472,13.66,2432.85
JAXW202.2473,4.54,995.62
JAXW202.2474,6.36,877.04
JAXW202.2475,4.6,661.94
JAXW202.2476,6.42,706.2
JAXW202.2477,6.1,1407.88
JAXW202.2478,12.2,1449.36
JAXW202.2479,8.84,1665.46
JAXW202.2480,5.98,714.61
JAXW202.2481,6.28,1554.3
JAXW202.2487,5.54,1242.62
JAXW202.2490,7.28,863.41
JAXW202.2491,5.58,1157.29
JAXW202.2492,8.22,987.22
JAXW202.2493,8.9,1677.65
JAXW202.2494,3.36,623.28
JAXW202.2495,5.14,887.68
JAXW202.2496,5.1,869.04
JAXW202.2497,5.44,1068.96
JAXW202.2498,3.46,641.83
JAXW202.2501,8.64,1140.48
JAXW202.2506,6.12,859.25
JAXW202.2507,9.12,2429.57
JAXW202.2534,8.62,1301.62
JAXW202.2535,6.86,896.6
JAXW202.2536,5.34,1045.57
JAXW202.2543,4.82,659.86
JAXW202.2544,6.3,1450.26
JAXW202.2550,6.42,1323.8
JAXW202.2551,7.96,1366.73
JAXW202.2555,5.8,466.32
JAXW202.2556,10.74,1284.5
JAXW202.2558,5.16,978.34
JAXW202.2561,5.2,1033.76
JAXW202.2563,6.66,1540.46
JAXW202.2564,4.68,1021.64
JAXW202.2566,8.16,1283.57
JAXW202.2567,4.76,880.6
JAXW202.2568,7.76,1091.06
JAXW202.2570,3.08,417.96
JAXW202.2571,11.22,1006.43
JAXW202.2572,10.92,905.27
JAXW202.2573,11.94,1512.8
JAXW202.2574,9.44,1450.93
JAXW202.2575,12.56,1355.22
JAXW202.2576,6.06,893.24
JAXW202.2577,10.36,923.08
JAXW202.2578,9.32,1368.18
JAXW202.2580,5.06,699.29
JAXW202.2581,6.2,1023
JAXW202.2582,8.24,1061.31
JAXW202.2583,5.56,1458.39
JAXW202.2584,5.56,664.42
JAXW202.2585,4.42,647.09
JAXW202.2586,5.44,972.13
JAXW202.2587,6.4,1340.8
JAXW202.2588,2.9,649.89
JAXW202.2589,4.9,459.62
JAXW202.2590,3.98,542.47
JAXW202.2594,8.42,1298.36
JAXW202.2595,12.58,1791.39
JAXW202.2596,4.98,1318.7
JAXW202.2598,6.94,1322.76
JAXW202.2599,3.92,1340.64
JAXW202.2600,3.84,995.71
JAXW202.2601,2.36,417.48
JAXW202.2602,5.88,929.04
JAXW202.2603,2.96,366.74
JAXW202.2604,4.12,1055.13
JAXW202.2606,8.14,1057.39
JAXW202.2608,10.3,907.43
JAXW202.2609,5.2,751.92
JAXW202.2610,7.6,871.72
JAXW202.2624,3.18,642.68
JAXW202.2627,9.64,980.39
JAXW202.2632,7.09,1120.22
JAXW202.2633,8.2,1135.7
JAXW202.2634,4.66,663.58
JAXW202.2636,5.32,963.45
JAXW202.2637,5.78,520.2
JAXW202.2638,5.74,867.89
JAXW202.2642,2.5,374
JAXW202.2643,4.96,535.68
JAXW202.2645,7.5,1142.25
JAXW202.2648,7.28,897.62
JAXW202.2649,5.04,435.96
JAXW202.2650,4.74,1311.56
JAXW202.2651,9.02,725.21
JAXW202.2655,8.02,1315.28
JAXW202.2657,5.12,1295.36
JAXW202.2659,7.28,1201.2
JAXW202.2663,7.52,1287.42
JAXW202.2665,5.98,572.29
JAXW202.2667,6.86,1575.74
JAXW202.2671,8.32,945.98
JAXW202.2672,11.64,1562.09
JAXW202.2675,5.62,1161.09
JAXW202.2677,11.16,1363.75
JAXW202.2678,6.28,666.94
JAXW202.2679,5.8,885.66
JAXW202.2680,4.62,718.87
JAXW202.2681,8.7,1067.49
JAXW202.2683,4.76,767.79
