# Arabidopsis MAGIC phenotype data, Gnan et al (2014) 10.1534/genetics.114.170746
# nrow 677
# ncol 9
id,bolting_days,seed_weight,seed_area,ttl_seedspfruit,branches,height,pc_seeds_aborted,fruit_length
MAGIC.85,19,23.81,0.82,50.89,5,44.27,1.23,16.23
MAGIC.86,21.33,24.68,0.83,38.67,5,44.13,0,13.6
MAGIC.87,19.67,22.55,0.72,65.78,3.67,49.75,1,14.9
MAGIC.88,18.67,20.93,0.7,66.44,3,44.1,0,16.68
MAGIC.89,25.67,22.93,0.75,48.56,3.67,44.8,1.62,13.73
MAGIC.90,20.33,25.24,0.77,61.11,6,45.95,0,15.88
MAGIC.91,17.33,21.23,0.71,69.89,5,NA,0,17.5
MAGIC.92,21,29.32,0.9,37.11,3.67,46.3,0,17.94
MAGIC.93,19,25.21,0.6,76.33,7.33,NA,0,17.48
MAGIC.94,17.33,27.52,0.86,47.33,5.33,39.2,0,14.52
MAGIC.95,14.67,18.92,0.66,48,7.33,36.17,0.23,14.95
MAGIC.96,21.67,21.79,0.74,53.11,3.67,42.25,0.2,14.29
MAGIC.97,15.33,20.6,0.68,62.56,6.33,42.2,0.16,15.56
MAGIC.98,22,21.37,0.74,58.89,4,NA,8.33,13.78
MAGIC.99,25.67,24.13,0.76,58.89,5,45.25,0,16.46
MAGIC.100,38.33,23.59,0.76,53.33,8.67,51.43,0,16.36
MAGIC.101,17,23.2,0.75,64,5.67,NA,0.36,17.65
MAGIC.102,15.67,22.12,0.72,55.56,7.33,41.75,0,16.52
MAGIC.103,18.67,22.08,0.72,58.78,6.67,36.45,0.22,14.83
MAGIC.104,19,21.92,0.77,49.22,6,NA,0,14.65
MAGIC.105,53.33,17.39,0.66,44.56,4.5,12.5,1.05,15.01
MAGIC.106,18,21.27,0.72,35.89,4,48.5,0,13.73
MAGIC.107,15.33,20.36,0.66,62.22,5.67,37.43,0.63,14.13
MAGIC.108,20.33,20.33,0.69,52.44,3.33,39.5,0.2,14.94
MAGIC.109,18.67,20.9,0.8,51.89,3.67,43.7,0,15.87
MAGIC.110,53.67,23.79,0.81,46.56,8,43,0.46,15.9
MAGIC.111,21,23.08,0.72,57.89,3.67,41.33,0.24,14.14
MAGIC.112,14.33,22.25,0.74,45.11,9,42,0.34,15.81
MAGIC.113,13,21.6,0.73,42.78,5,33,1.93,13.84
MAGIC.114,21.33,22.1,0.73,50.22,7,57.17,0,15.04
MAGIC.115,21.33,22.55,0.74,59.67,5,52.6,0,13.85
MAGIC.116,29.67,24.43,0.83,47,4,46.57,0.25,14.22
MAGIC.117,19.33,23.64,0.77,49.33,6.33,58.55,0.64,17.21
MAGIC.118,17,20.47,0.7,52.22,3.67,51.5,0.17,13.4
MAGIC.119,23.67,22.42,0.76,42.44,4.67,NA,0,12.02
MAGIC.120,25.67,26.87,0.82,52.67,6,26.1,0,13.27
MAGIC.121,15.67,19.64,0.7,54.11,6.33,35.17,0,15.3
MAGIC.122,13,23.41,0.79,39,5.67,46.5,1.9,12.44
MAGIC.123,20.33,20.49,0.71,53.44,7,NA,0,13.85
MAGIC.124,22.67,21.81,0.7,65.44,7.33,NA,0.25,14.88
MAGIC.125,34.33,19.2,0.7,49.89,8,36,0,14.34
MAGIC.126,15.67,18.29,0.66,69.78,5.67,40,0.32,15.48
MAGIC.127,21.67,19.13,0.64,58.89,5.33,45.17,0.94,14.45
MAGIC.128,17.33,19.4,0.66,58.78,6.67,40.27,0,14.9
MAGIC.129,26,25.35,0.85,40.56,4,56.75,0,17.46
MAGIC.130,20.67,24.41,0.81,48.33,6,36.65,1.49,14.12
MAGIC.131,23.33,22.69,0.77,46.44,4.33,43.45,0,15.01
MAGIC.132,30.67,24.78,0.84,41.56,6.33,31,0.26,12.86
MAGIC.133,23,23.33,0.75,49.67,4.67,NA,0,13.51
MAGIC.134,47,21.16,0.72,48.89,8.67,39.5,0,17.1
MAGIC.135,15.33,19.02,0.69,30.5,6.67,41,5.12,13.57
MAGIC.136,20.33,23.84,0.78,53.22,5.33,48.15,0,15.24
MAGIC.137,19,25.62,0.88,26.44,7,NA,1.52,13.38
MAGIC.138,13.67,20.45,0.69,55.56,5.67,44.6,0.2,13.66
MAGIC.139,16.5,18.14,0.64,60.78,6.67,44.6,0.45,15.16
MAGIC.140,20.33,20.63,0.73,48.67,5,51.6,0,12.28
MAGIC.141,15,17.45,0.65,47.89,6,40.17,21.45,15.34
MAGIC.142,20,22.03,0.73,51.33,3.67,NA,0,18.26
MAGIC.143,15.33,17.12,0.66,43.67,6.67,43.6,0,11.21
MAGIC.144,20.33,20.73,0.69,59.67,4.33,42.2,0.33,15.46
MAGIC.145,21.67,19.41,0.71,50,5,NA,0,13.58
MAGIC.146,20.67,30.26,0.9,59.78,3.67,59.5,0.43,19.8
MAGIC.147,18,24.02,0.76,63.67,4,44.95,0.17,17.38
MAGIC.148,18.33,18.76,0.63,69.11,5.33,29.85,0,15.44
MAGIC.149,15.67,20.95,0.7,41.56,4.67,38.9,10.28,11.76
MAGIC.150,17,21.97,0.73,65.78,5,NA,0.17,15.32
MAGIC.151,20,25.77,0.81,40.89,5,37.5,0.69,16.69
MAGIC.152,15.33,20.66,0.75,29.44,5,43.75,0,14.8
MAGIC.153,19.33,18.75,0.64,60.5,3.67,15.83,0.14,12.51
MAGIC.154,16,21.12,0.71,46.22,4.67,36.67,4.87,14.44
MAGIC.155,56.33,20.26,0.73,45.22,5,20.17,0.76,15.02
MAGIC.156,14.33,17.39,0.62,66.33,8,39.1,0,14.41
MAGIC.157,14.33,19.17,0.66,64.89,6,NA,0.22,15.03
MAGIC.158,16,20.33,0.71,71.11,6,45.53,0,18.82
MAGIC.159,17,23.63,0.77,54.89,6.33,45.75,0,16.19
MAGIC.160,18.67,20.13,0.66,62.67,4,45.9,0,14.69
MAGIC.161,17,23.91,0.74,57.44,6.67,54.05,0,16.85
MAGIC.162,15.33,18.82,0.65,57.44,6.5,43.13,0.37,15.32
MAGIC.163,24,31.72,0.94,39.89,5.33,47.33,0.28,12.23
MAGIC.164,24,19.72,0.72,44.33,6.33,38.9,14.12,12.68
MAGIC.165,23,23.56,0.66,61,4.33,44.7,0,18.09
MAGIC.166,24,21.59,0.75,47.11,5,37.7,0.24,13.64
MAGIC.167,17.67,20.87,0.69,55.44,6,NA,0,17.08
MAGIC.168,18.33,22.62,0.74,50.22,6.33,42.35,0,13.56
MAGIC.169,20.67,23.37,0.76,59,5,34.2,0.75,15.38
MAGIC.170,20.67,21.79,0.74,52.22,6.33,41,0.43,15
MAGIC.171,16.33,16.74,0.6,61.67,4.67,29.75,0.39,12.3
MAGIC.172,50,19.37,0.69,44.17,9,25.5,0,14.19
MAGIC.173,25.67,19.82,0.7,45.56,4.33,41.17,0.2,12.7
MAGIC.174,19,22.97,0.76,69,6.67,NA,0,17.24
MAGIC.175,20.33,21.11,0.71,58.78,5.33,NA,0.58,15.05
MAGIC.176,19.33,22.26,0.74,57.67,5.33,NA,0.54,13.29
MAGIC.177,29,15.62,0.62,53.67,6,NA,3.7,16.01
MAGIC.178,20.33,24.07,0.77,61.67,5.67,NA,0,17.4
MAGIC.179,21.67,23.18,0.79,54,6,46,0.39,14.73
MAGIC.180,34,23.74,0.83,41.89,10,34.17,0.27,15.66
MAGIC.181,30.33,24.27,0.81,54.22,4.33,27.43,1.67,14.02
MAGIC.182,19.33,20.94,0.73,47.44,8,48,0.74,17.87
MAGIC.183,23.67,20.98,0.71,60.22,5,NA,0,13.13
MAGIC.184,41,27.5,0.86,44.11,7.67,39.5,0.39,14.92
MAGIC.185,13.33,21.69,0.72,49.28,6,22.9,3.98,10.72
MAGIC.186,16.33,15.51,0.57,63.78,5.33,20,3,11.85
MAGIC.187,18.33,20.08,0.7,52.44,4.67,NA,0.2,14.13
MAGIC.188,17.33,23.14,0.72,67.33,7.67,49.25,0.66,17.12
MAGIC.189,16,17.62,0.63,60.22,7,24.25,0.56,11.22
MAGIC.190,16.67,19.22,0.69,37.56,7.33,NA,1.41,8.92
MAGIC.191,23,23.39,0.81,39.11,7,NA,0.22,10.99
MAGIC.192,18.67,20.49,0.68,62.89,7,NA,0,16.76
MAGIC.193,16,22.46,0.74,56.44,4.33,NA,0,14.88
MAGIC.194,25.67,24.97,0.81,49.11,5,52,0.44,14.34
MAGIC.195,22.33,20.67,0.71,60.33,4,NA,0.51,15.19
MAGIC.196,19.67,21.6,0.69,58.72,4,49.87,0.19,15.06
MAGIC.197,16.67,28.64,0.85,54,6.67,37.5,0.39,12.99
MAGIC.198,18.33,20.25,0.69,64.22,8.33,47.6,0.19,16.85
MAGIC.199,23,21.92,0.72,60.78,5.67,50.17,0.17,16.23
MAGIC.200,16.33,23.86,0.77,46.61,12.67,NA,0,14.29
