# Phenotypes for Maize MAGIC from Dell'Acqua et al (2015) doi:10.1186/s13059-015-0716-z
# nrow 529
# ncol 5
Line,PS,PH,EH,GYrad
17_60,73.1526,179.3386,87.0947,6.7725
17_62,73.8708,169.5239,83.5037,7.0902
17_65,74.33,201.5967,111.7616,8.0538
17_7,75.3568,138.1289,57.8497,6.1345
18_10,72.7454,123.0322,65.9314,3.7365
18_2,72.1635,187.3223,93.8809,7.5685
18_22,72.0264,136.8225,77.9126,7.3819
18_24,81.4952,165.8064,92.9755,4.8037
18_27,70.3009,165.7738,79.3527,7.3852
18_29,78.381,197.5644,93.2017,8.5905
18_3,74.8779,219.9192,112.1012,10.7494
18_31,76.8982,137.8091,74.64,4.092
18_33,78.3634,112.1371,68.1265,5.7954
18_36,80.7845,183.6101,109.1934,3.6886
18_4,74.4316,171.9434,94.271,8.7019
18_57,78.7834,173.3305,85.3779,9.3159
18_60,77.2887,102.98,53.4849,4.3349
18_61,80.2239,157.8868,98.0695,6.1551
18_66,79.9429,198.274,78.8621,5.3287
18_9,70.1563,135.3468,64.5918,6.3514
19_1,78.3274,154.1933,110.4784,5.9138
19_14,76.8356,165.4272,79.9061,8.797
19_15,73.2155,172.1775,78.3844,7.9111
19_18,74.3735,112.7901,51.8245,4.6165
19_19,78.2434,138.387,89.9314,6.204
19_2,75.0743,195.6934,119.3779,10.6263
19_23,75.1896,138.371,80.4472,6.1344
19_29,77.6597,163.516,105.422,6.1023
19_30,72.1148,149.5239,82.4532,5.3911
19_33,75.9071,179.274,96.5037,9.0341
19_36,73.5629,195.3063,101.3339,12.02
19_37,70.5583,127.5644,58.7804,7.3731
19_38,72.3764,141.3707,60.2081,4.5986
19_40,74.4157,166.4353,90.4596,7.4087
19_41,79.0989,222.5886,119.8433,8.3977
19_44,78.18,226.2177,138.271,8.6298
2_11,78.9156,140.9515,78.9566,3.2969
2_14,77.4032,112.0805,47.6106,4.2433
2_15,80.1093,130.6529,70.1641,5.24644
2_28,71.5125,145.2903,61.7804,9.0585
2_46,76.6388,150.7901,82.1829,4.8168
2_54,75.6122,137.8062,56.3274,5.8905
2_59,69.6772,131.6666,71.9901,5.6763
2_6,74.968,170.2096,90.919,3.6166
2_61,73.8955,124.1773,54.6359,4.5282
2_62,77.7031,139.9597,69.0007,3.7513
2_67,73.5868,114.9999,56.2081,6.7943
2_68,73.0481,185.1962,77.4408,3.3991
2_71,77.7213,197.5804,107.2017,4.1885
2_73,74.7802,137.6692,61.3339,6.7198
2_76,77.9674,178.2498,76.8368,5.0057
20_12,81.1515,206.6532,103.5037,8.0742
20_13,71.1914,125.0482,56.5477,6.4551
20_15,77.9718,184.9597,89.2898,8.3868
20_17,72.6846,187.0939,97.4702,10.1573
20_24,76.1435,129.9192,64.667,6.2743
20_26,72.9702,224.0403,109.3027,9.1403
20_28,80.968,125.4677,50.4408,7.2374
