id,UNC210000095,UNC210000599,UNC210001275,UNC210001366,UNC210001613
JAXW202-2418,2.786,0.088,0.028,3.23,1.393
JAXW202-2420,2.818,0.056,0.025,3.27,1.376
JAXW202-2441,2.835,0.086,0.029,3.263,1.453
JAXW202-2134,3.804,0.034,0.018,4.26,1.616
JAXW202-2431,2.663,0.066,0.021,3.124,1.498
JAXW202-2249,2.741,0.055,0.012,3.111,1.442
JAXW202-2271,2.748,0.075,0.02,3.278,1.493
JAXW202-2379,2.825,0.291,0.159,3.515,1.731
JAXW202-2284,2.84,0.279,0.185,3.481,1.83
JAXW202-2292,2.803,0.318,0.14,3.307,1.787
JAXW202-2257,2.624,0.083,0.022,3.393,1.217
JAXW202-2265,2.745,0.056,0.025,3.057,1.389
JAXW202-2360,3.042,0.302,0.177,3.417,1.91
JAXW202-2368,2.856,0.328,0.166,3.416,1.787
JAXW202-2351,3.236,0.232,0.104,3.666,1.836
JAXW202-2432,2.92,0.044,0.025,3.567,1.442
JAXW202-2250,2.671,0.057,0.016,3.368,1.337
JAXW202-2272,2.759,0.054,0.015,3.126,1.501
JAXW202-2285,2.889,0.282,0.142,3.438,1.79
JAXW202-2258,2.598,0.068,0.022,3.214,1.541
JAXW202-2266,2.75,0.066,0.015,3.276,1.389
JAXW202-2361,2.902,0.314,0.161,3.486,1.738
JAXW202-2369,2.853,0.323,0.171,3.245,1.754
JAXW202-2301,2.777,0.292,0.168,3.418,1.779
JAXW202-2433,2.685,0.066,0.03,2.985,1.521
JAXW202-2251,2.612,0.062,0.028,3.125,1.186
JAXW202-2381,2.757,0.275,0.177,3.275,1.782
JAXW202-2294,2.951,0.271,0.123,3.744,1.871
JAXW202-2259,2.743,0.067,0.013,3.198,1.294
JAXW202-2267,2.61,0.089,0.025,3.183,1.37
JAXW202-2362,2.69,0.313,0.17,3.164,1.813
JAXW202-2649,2.715,0.306,0.162,3.464,1.775
JAXW202-2302,2.682,0.291,0.176,3.134,1.523
JAXW202-2353,3.597,0.204,0.107,4.697,2.07
JAXW202-2435,2.777,0.055,0.029,3.329,1.569
JAXW202-2252,2.681,0.073,0.033,3.338,1.383
JAXW202-2274,2.632,0.088,0.021,3.143,1.402
JAXW202-2382,2.693,0.308,0.189,3.303,1.826
JAXW202-2287,2.749,0.295,0.129,3.417,1.826
JAXW202-2295,2.971,0.258,0.149,3.708,1.842
JAXW202-2260,2.806,0.086,0.032,3.281,1.488
JAXW202-2268,2.555,0.073,0.033,3.227,1.318
JAXW202-2363,2.849,0.32,0.162,3.412,1.806
JAXW202-2371,2.842,0.304,0.183,3.362,1.744
JAXW202-2354,3.967,0.193,0.13,4.962,2.126
JAXW202-2436,2.861,0.076,0.029,3.313,1.429
JAXW202-2253,2.653,0.073,0.032,2.891,1.414
JAXW202-2375,2.632,0.353,0.19,2.981,1.773
JAXW202-2383,2.786,0.309,0.194,3.255,1.769
JAXW202-2288,2.84,0.264,0.181,3.243,1.738
JAXW202-2296,3.093,0.174,0.101,3.704,1.726
JAXW202-2261,2.501,0.095,0.038,2.967,1.42
JAXW202-2269,2.509,0.089,0.046,2.973,1.373
JAXW202-2364,2.721,0.286,0.168,3.153,1.783
JAXW202-2355,2.974,0.221,0.101,3.707,1.898
JAXW202-2438,2.803,0.073,0.006,3.531,1.337
JAXW202-2254,2.596,0.073,0.026,3.089,1.253
JAXW202-2376,2.73,0.311,0.185,3.316,1.864
JAXW202-2384,2.715,0.312,0.171,3.299,1.821
JAXW202-2289,3.316,0.032,0.127,3.859,2.007
JAXW202-2297,3.183,0.206,0.092,3.886,2.003
JAXW202-2262,2.56,0.054,0.021,2.87,1.456
JAXW202-2275,2.499,0.067,0.016,3.069,1.485
JAXW202-2365,2.682,0.066,0.211,3.102,1.761
JAXW202-2373,2.842,0.275,0.187,3.124,1.722
JAXW202-2305,2.936,0.213,0.127,3.445,1.384
JAXW202-2356,3.35,0.193,0.122,3.927,1.959
JAXW202-2434,2.662,0.068,0.023,3.189,1.426
JAXW202-2255,2.714,0.082,0.028,2.916,1.343
JAXW202-2377,2.743,0.337,0.184,3.075,1.843
JAXW202-2385,2.713,0.281,0.193,3.144,1.816
JAXW202-2290,2.68,0.319,0.206,3.195,1.842
JAXW202-2298,2.486,0.265,0.155,3.218,1.773
JAXW202-2358,2.721,0.301,0.188,3.176,1.782
JAXW202-2366,2.68,0.313,0.221,3.29,1.661
JAXW202-2374,2.663,0.293,0.191,3.061,1.81
JAXW202-2357,2.907,0.23,0.113,3.602,1.713
JAXW202-2248,2.845,0.06,0.03,3.126,1.475
JAXW202-2270,2.643,0.064,0.026,3.13,1.342
JAXW202-2378,2.919,0.323,0.194,3.326,1.823
JAXW202-2283,2.919,0.277,0.153,3.415,1.789
JAXW202-2291,2.901,0.309,0.182,3.418,1.821
JAXW202-2256,2.949,0.056,0.021,3.716,1.43
JAXW202-2264,2.749,0.075,0.023,3.086,1.505
JAXW202-2359,2.874,0.059,0.191,3.378,1.788
JAXW202-2367,3.298,0.278,0.16,3.891,1.447
JAXW202-2299,3.05,0.073,0.188,3.501,1.857
JAXW202-2307,2.853,0.292,0.186,3.543,1.857
JAXW202-2584,3.44,0.052,0.03,3.726,1.528
JAXW202-2585,2.959,0.088,0.02,3.435,1.474
JAXW202-2601,2.573,0.061,0.039,3.006,1.372
