# Phenotypes for Recla et al. (2019) DO data (https://doi.org/10.1097/j.pain.0000000000001571)
# nrow 275
# ncol 3
id,formalin_score,formalin_score_sqrt
CJB-DO-136,0,0
CJB-DO-137,5,2.236
CJB-DO-138,3,1.732
CJB-DO-139,1,1
CJB-DO-140,4,2
CJB-DO-161,32,5.657
CJB-DO-162,0,0
CJB-DO-165,0,0
CJB-DO-166,1,1
CJB-DO-167,2,1.414
CJB-DO-168,7,2.646
CJB-DO-189,0,0
CJB-DO-190,35,5.916
CJB-DO-191,11,3.317
CJB-DO-192,8,2.828
CJB-DO-193,2,1.414
CJB-DO-194,23,4.796
CJB-DO-195,19,4.359
CJB-DO-196,2,1.414
CJB-DO-199,4,2
CJB-DO-200,0,0
CJB-DO-201,26,5.099
CJB-DO-202,10,3.162
CJB-DO-233,15,3.873
CJB-DO-234,5,2.236
CJB-DO-235,15,3.873
CJB-DO-236,8,2.828
CJB-DO-237,8,2.828
CJB-DO-238,7,2.646
CJB-DO-239,20,4.472
CJB-DO-240,19,4.359
CJB-DO-241,10,3.162
CJB-DO-242,34,5.831
CJB-DO-243,16,4
CJB-DO-244,10,3.162
CJB-DO-245,17,4.123
CJB-DO-246,5,2.236
CJB-DO-247,13,3.606
CJB-DO-248,5,2.236
CJB-DO-249,0,0
CJB-DO-250,30,5.477
CJB-DO-251,13,3.606
CJB-DO-252,5,2.236
CJB-DO-253,23,4.796
CJB-DO-254,29,5.385
CJB-DO-255,0,0
CJB-DO-256,5,2.236
CJB-DO-257,6,2.449
CJB-DO-258,0,0
CJB-DO-259,2,1.414
CJB-DO-260,8,2.828
CJB-DO-261,17,4.123
CJB-DO-262,9,3
CJB-DO-263,8,2.828
CJB-DO-264,5,2.236
CJB-DO-285,20,4.472
CJB-DO-295,9,3
CJB-DO-296,5,2.236
CJB-DO-299,1,1
CJB-DO-300,1,1
